,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2005,2006,2007,2008,2001,2002,2003,2004,1996,1997,1998,1999,2000,1990,1991,1992,1993,1994,1995
USD,11664593296.61597,17780234623.25498,19196241247.645878,19274551375.885456,21433227453.08179,27384488483.270004,19745564273.115368,18434107287.005527,19452504428.783176,8993812977.989388,5240993721.929889,7457299624.383773,7342971.63,3449326780.0742626,6770585198.76402,9075970788.463955,11336868679.080772,1705737012.4381914,2188161926.128028,2538011850.543796,2642033075.038068,925281.0665605412,146693661.05361933,418073373.7124477,860684151.9232732,1125760590.4305272,0,0,0,0,0,0
Ppl,106774232.31234072,113198037.29004674,117504163.56909747,117627983.55585097,117946950.18698646,144011342.401905,113785302.46599,113669917.29209699,114109433.499772,107417112.51015098,71381247.943707,17146007.280556,1282165.28,80833923.597049,84705161.67757264,87836135.65542066,91164256.55565205,39508457.626162,25887208.429362,66030697.48137601,74017149.09807199,3710.0,1530885.642005,8043938.883044,11603009.020825,14069927.01623,69131,159510,173597,325529,304781,0
