,Year,USD,Ppl
0,2009,11.66459329661597,106.77423231234071
1,2010,17.780234623254977,113.19803729004674
2,2011,19.19624124764588,117.50416356909747
3,2012,19.274551375885455,117.62798355585097
4,2013,21.43322745308179,117.94695018698646
5,2014,27.384488483270005,144.011342401905
6,2015,19.745564273115367,113.78530246599
7,2016,18.434107287005528,113.66991729209698
8,2017,19.452504428783175,114.109433499772
9,2018,17.197469261989387,107.41711251015099
10,2019,13.66157294192989,71.38124794370701
11,2005,3.4493267800742626,80.833923597049
12,2006,6.77058519876402,84.70516167757263
13,2007,9.075970788463955,87.83613565542066
14,2008,11.336868679080773,91.16425655565205
15,2001,1.7057370124381914,39.508457626162
16,2002,2.188161926128028,25.887208429361998
17,2003,2.538011850543796,66.03069748137601
18,2004,2.642033075038068,74.017149098072
19,2000,1.1257605904305272,14.06992701623
